Temperature,Humidity,Water Level,Status
27.3,82,1.6,1
27.3,82,1.6,1
27.3,82,1.6,1
27.2,82,1.6,1
27.2,83,1.6,1
27.2,83,1.6,1
26.7,83,1.6,1
26.7,83,1.6,1
26.2,83,1.5,1
26.2,83,1.5,1
26.2,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.3,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.7,83,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
26.8,84,1.5,1
27.1,84,1.5,1
27.1,84,1.5,1
